id;name;detail;entity_name;creation_date;last_updated
1;Re-engineered Dynamic;morph Representative Advanced;South Circle;2021-08-17T18:51:12;2021-08-17T13:50:39
2;Pine New;Automotive conglomeration indigo;microchip;2021-08-17T09:06:21;2021-08-17T03:24:27
3;Shirt transmitting;Jewelery Tugrik Books;web-enabled;2021-08-17T02:34:53;2021-08-17T22:08:23
4;Music Paradigm;Japan Dakota Strategist;bus Avon Fantastic;2021-08-17T15:16:41;2021-08-17T05:52:51
5;Automotive;Licensed Right-sized Garden;Dynamic Cotton Personal;2021-08-17T04:31:12;2021-08-17T00:07:23
6;Research;Bedfordshire Steel Cambridgeshire;Hill empower enable;2021-08-17T11:56:24;2021-08-17T08:42:05
7;Directives monitor Car;application Investment connecting;Cambridgeshire Pizza high-level;2021-08-16T23:48:04;2021-08-17T06:53:48
8;SAS;Borders;Administrator;2021-08-17T04:11:49;2021-08-17T13:04:08
9;Shilling;Soap;redundant;2021-08-17T20:19:12;2021-08-17T22:30:33
10;state;Berkshire;proactive Alabama;2021-08-17T16:44:54;2021-08-17T16:47:47
