id;name;detail;recognizer_name;creation_date;last_updated
1;Underpass PNG;sky best-of-breed Planner;Engineer SDD;2021-08-17T23:06:15;2021-08-17T11:07:30
2;Small;ADP;Card;2021-08-17T13:22:36;2021-08-17T03:37:43
3;Multi-channelled Tasty Plastic;Cambridgeshire Principal;monitor Soap web-readiness;2021-08-17T07:43:04;2021-08-17T13:38:34
4;e-commerce Jewelery;navigating foreground;Pitcairn system;2021-08-17T05:26:50;2021-08-17T03:36:21
5;utilisation Liaison;channels quantifying;expedite deposit;2021-08-17T12:16:02;2021-08-17T23:11:24
6;payment;Quality;coherent blockchains frictionless;2021-08-17T12:28:09;2021-08-17T18:16:01
7;Pike solution-oriented enterprise;Bedfordshire Radial;Cambridgeshire;2021-08-17T14:02:45;2021-08-17T21:59:28
8;Toys ivory;Bosnia Handmade;Sleek Berkshire;2021-08-17T02:24:26;2021-08-17T05:44:51
9;River input;Lodge;Pizza Cambridgeshire;2021-08-17T02:32:16;2021-08-17T22:45:36
10;Cotton;Prairie connecting Investment;system Intelligent;2021-08-17T19:33:00;2021-08-17T00:53:40
