id;name;detail;version;app_type;creation_date;last_updated
1;Car Carolina;Tools;azure Shoes;CRM;2021-08-17T18:09:04;2021-08-17T21:17:34
2;hybrid Bedfordshire PCI;Kwacha;Card;CRM;2021-08-17T15:01:07;2021-08-17T16:47:10
3;Lead;compelling;ADP;MOBILE;2021-08-17T17:24:36;2021-08-17T21:42:15
4;Music;Sharable Vermont French;EXE;HR;2021-08-17T23:15:19;2021-08-17T17:18:25
5;Assurance Metical;Avon;Soap;ANALYTICS;2021-08-17T01:02:51;2021-08-17T22:52:21
6;auxiliary Palau;Cambridgeshire Litas;lavender Guiana open-source;SERVICE;2021-08-17T04:22:55;2021-08-17T14:39:24
7;magenta Bike Electronics;Mexico Table Estate;Credit;HELPDESK;2021-08-17T12:29:30;2021-08-17T13:48:33
8;sensor Bike Granite;Avon Loop;Fiji;WEB;2021-08-17T22:37:29;2021-08-17T15:12:17
9;Singapore transmitting;copy generate;hack;BI;2021-08-17T05:30:52;2021-08-17T17:59:14
10;Computer bypass bluetooth;deploy Miquelon Islands;empower;CRM;2021-08-17T13:45:09;2021-08-17T08:24:59
