id;name;detail;creation_date;last_updated
1;Bouvet Borders Iowa;Human;2021-08-17T14:33:34;2021-08-17T11:04:54
2;driver;Cross-group;2021-08-17T18:59:52;2021-08-17T09:31:33
3;Accountability payment;Group;2021-08-17T14:38:21;2021-08-17T12:19:27
4;Money;Implemented bluetooth;2021-08-17T00:21:21;2021-08-17T13:29:22
5;Global SSL;Legacy static synthesize;2021-08-17T07:27:38;2021-08-17T16:33:51
6;Guilder;Beauty online Forest;2021-08-17T07:08:25;2021-08-17T11:32:30
7;Implemented Factors Anguilla;Dollar;2021-08-17T22:24:56;2021-08-17T03:38:53
8;Assurance Account;extend;2021-08-17T10:14:27;2021-08-17T16:21:55
9;RSS circuit Specialist;Account AGP;2021-08-17T03:45:26;2021-08-17T00:19:05
10;evolve Buckinghamshire;HDD Open-source;2021-08-17T22:43:47;2021-08-17T17:12:26
