id;name;detail;column_name_line_number;encoding;separator_char;quote_char;escape_char;fixed_value_width;skip_empty_lines;skip_empty_columns;fail_on_inconsistent_line_width;skip_ebcdic_header;eol_present;file_type;creation_date;last_updated
1;Soft Field;mobile;53430;Refined Universal Intelligent;Estonia Granite Circle;Investment;Clothing system Israel;7067;true;false;false;true;true;Ball payment Direct;2021-08-17T23:03:21;2021-08-17T04:24:09
2;Jewelery Buckinghamshire;groupware;44649;Industrial;RAM Groves exploit;deposit Borders SSL;Plastic Designer;30666;false;true;true;true;true;up Gorgeous;2021-08-17T03:21:04;2021-08-17T09:27:59
3;hacking;Seychelles Fish Home;86745;Dale client-server;purple;Cambridgeshire maximized;programming;15694;false;true;true;false;true;transmit Tactics Refined;2021-08-17T00:16:17;2021-08-17T21:04:51
4;Avon;virtual Steel Berkshire;36314;Rhode;Metal;Facilitator attitude-oriented New;neutral;10518;false;true;true;false;true;Verde metrics online;2021-08-17T22:35:25;2021-08-17T08:32:01
5;Cambodia;invoice;90961;functionalities;interface methodical alarm;scalable hybrid Account;encryption Bike Computer;19461;false;true;true;true;false;Idaho;2021-08-17T23:13:49;2021-08-17T08:46:03
6;gold;stable;98330;Generic turquoise;cyan;Niger Shoes customized;Gloves Director Solomon;31607;false;true;true;true;true;Account;2021-08-17T02:20:28;2021-08-17T11:14:59
7;Soft input integrate;copying Personal;73567;Internal;Lane Massachusetts;online reboot;interactive;98412;false;false;false;true;false;program system;2021-08-17T10:48:36;2021-08-17T14:54:25
8;Mexico;Producer Agent Ergonomic;724;Awesome payment Springs;compressing Sudanese turquoise;Chief program;Handcrafted Licensed;12256;false;false;false;false;false;harness XSS blockchains;2021-08-17T02:33:54;2021-08-17T20:54:49
9;Fresh;AGP;10846;Right-sized communities;Automotive;optimal XML;Loan;80591;false;true;true;true;false;lime COM Borders;2021-08-17T21:28:30;2021-08-17T06:05:56
10;impactful Chief 24/365;capacitor GB;78970;quantify bypass;application;Directives;improvement disintermediate e-business;20234;false;false;true;true;true;Kentucky website Savings;2021-08-17T12:08:23;2021-08-17T01:48:29
