id;name;detail;file_type;file_path;column_name_line_number;encoding;separator_char;quote_char;escape_char;fixed_value_width;skip_empty_lines;skip_empty_columns;fail_on_inconsistent_line_width;skip_ebcdic_header;eol_present;creation_date;last_updated
1;Bedfordshire;forecast;PARQUET;Kids;34977;Franc;Comoros;Borders Wisconsin navigating;solutions Niger Coordinator;68077;true;true;false;true;true;2021-08-17T01:41:07;2021-08-17T05:29:14
2;Pizza withdrawal Grocery;sticky;NOSQL;fresh-thinking Card Indian;61349;Steel unleash;Profit-focused;Concrete;copy optical;34599;true;true;true;true;true;2021-08-17T11:22:49;2021-08-17T22:27:06
3;Industrial;Lari Licensed;QMS;deposit;68326;enhance Handcrafted radical;array Sleek intuitive;grid-enabled Chips;Refined 1080p;13059;false;true;false;true;false;2021-08-17T08:58:20;2021-08-17T21:57:46
4;District Concrete Facilitator;withdrawal Officer Computers;FIXED;empower;52251;Polarised invoice Extended;Brand;Agent;Data;47669;true;false;true;true;false;2021-08-17T03:30:51;2021-08-17T00:51:19
5;cyan Plastic;Organized;JDBC;withdrawal grid-enabled Chips;89413;e-markets Computers;Square payment Investment;overriding feed plum;quantify;89725;true;false;true;false;true;2021-08-17T05:30:35;2021-08-17T13:44:08
6;alarm;Avon Gateway;XLS;Frozen virtual Money;14396;maximize quantify copy;back-end Soft synthesize;Intuitive;paradigms envisioneer;17851;true;true;true;true;false;2021-08-17T10:51:52;2021-08-16T23:46:26
7;Bedfordshire cross-platform;Tunisia Pakistan;ARVO;Refined Practical tangible;95804;reboot Metical;heuristic Rustic;District navigating JSON;withdrawal;23422;true;false;true;false;true;2021-08-16T23:50:46;2021-08-17T06:23:41
8;Consultant;attitude e-commerce Plastic;XML;Synchronised haptic;20115;Metal connecting Beauty;Concrete Shilling;markets Shoes Horizontal;HDD 24/365;21021;true;false;false;false;false;2021-08-17T22:14:34;2021-08-17T13:40:04
9;bypass;multi-byte Manager;QMS;tan whiteboard;72201;communities protocol Human;copying;benchmark;Generic compress;35544;true;false;false;true;false;2021-08-17T05:21:15;2021-08-17T15:15:30
10;frame;Tasty;NOSQL;Table ROI;36673;Lats;withdrawal;Sports bluetooth Unbranded;Florida;42137;false;false;false;true;false;2021-08-17T21:26:45;2021-08-17T05:35:00
