id;table_name;creation_date;last_updated
1;cyan;2021-08-17T16:34:04;2021-08-17T02:28:08
2;SDD frictionless;2021-08-17T18:04:21;2021-08-17T19:17:40
3;success Central multi-state;2021-08-17T19:23:18;2021-08-17T07:58:26
4;Brazil Terrace;2021-08-17T19:32:54;2021-08-17T08:52:01
5;Chile Persevering Tuna;2021-08-17T00:52:33;2021-08-17T17:35:54
6;Health solution-oriented;2021-08-17T06:31:50;2021-08-17T22:14:46
7;Crossroad Music Regional;2021-08-17T20:29:15;2021-08-17T12:40:24
8;Incredible Forward Practical;2021-08-17T20:03:55;2021-08-17T18:21:09
9;blockchains;2021-08-17T22:03:36;2021-08-17T09:44:12
10;Marketing;2021-08-17T17:09:33;2021-08-17T08:45:53
