id;column_name;column_type;creation_date;last_updated
1;Burg;Vermont Home;2021-08-17T12:17:50;2021-08-17T11:25:51
2;Soft Rupee Chief;markets;2021-08-17T09:04:51;2021-08-17T02:49:52
3;Buckinghamshire azure;SQL Agent;2021-08-17T08:26:23;2021-08-17T20:21:53
4;lime Rica;architectures e-commerce;2021-08-17T14:49:40;2021-08-17T04:52:08
5;red deposit;Pizza transmit deposit;2021-08-17T08:23:37;2021-08-17T16:38:58
6;toolset Wisconsin;Shirt;2021-08-17T00:03:51;2021-08-17T01:16:14
7;Trail navigate synergistic;Market Home payment;2021-08-17T11:56:21;2021-08-17T00:18:15
8;architecture synthesizing;payment Bedfordshire Corporate;2021-08-17T17:04:48;2021-08-17T00:53:12
9;client-server;incubate moderator;2021-08-17T13:29:46;2021-08-17T01:59:23
10;Bacon Specialist circuit;Plastic;2021-08-17T23:13:54;2021-08-17T07:46:31
