id;column_name;column_type;column_size;is_nullable;is_primary_key;is_foreign_key;is_indexed;creation_date;last_updated
1;deposit cultivate users;conglomeration innovate;62168;false;true;true;false;2021-08-17T01:55:25;2021-08-17T19:00:24
2;mesh;Compatible optical;3807;false;true;false;false;2021-08-17T17:53:37;2021-08-17T06:20:28
3;leverage Namibia;e-tailers Course Refined;92533;true;false;false;true;2021-08-17T00:02:56;2021-08-17T05:29:13
4;intuitive;harness Switchable;6199;true;false;false;true;2021-08-17T14:08:56;2021-08-17T03:49:04
5;deposit Fish;Research auxiliary Salad;73901;true;true;false;false;2021-08-17T08:32:48;2021-08-17T16:12:48
6;Dong capacitor Personal;bi-directional hacking Identity;39916;true;true;true;false;2021-08-17T18:08:55;2021-08-17T10:43:22
7;human-resource;Steel array implementation;29411;true;false;true;false;2021-08-17T00:42:23;2021-08-17T22:09:20
8;California;Bedfordshire Internal;84338;true;true;true;false;2021-08-17T22:59:34;2021-08-17T20:21:21
9;Functionality Home;Concrete maroon withdrawal;75289;false;true;false;false;2021-08-17T01:14:42;2021-08-17T13:21:31
10;Consultant USB;Vista;83479;true;false;false;true;2021-08-17T10:40:03;2021-08-17T19:53:00
